Codigo;Apellidos;Nombres;Correo Electronico;No. Calle o Avenida;No. de Casa;Zona
243;Cardona Ramos;Katerine;katecard@gmail.com;9na. Avenida;11-14;3
244;Carías Morales;Jorge Rodrigo;jorgcari@msn.com;6ta. Calle;9-40;4
245;Carranza Barrios;Stephanie Joanne;stepcarr@gmail.com;3ra. Avenida;17-42;5
246;Carranza Barrios;Josué Roberto;josucarr@yahoo.es;9na. Avenida;10-36;6
247;Carranza García;Albertina;albecarr@walla.com;9na. Avenida;4-09;7
248;Carrera Aguilar;Heidy Carolina;heidcarr@aol.com;10ma. Calle;7-62;8
249;Carrera Alvarez;Dayana Julissa;dayacarr@yahoo.com;7ma. Avenida;3-82;9
250;Carrera Alvarez;Stephany Alejandra;stepcarr@hotmail.com;5ta. Avenida;17-44;10
251;Carrera Pérez;Luis Enrique;luiscarr@gmail.com;1ra. Avenida;12-50;11
252;Carrillo;Sthefanie Ana Lucia;sthecarr@msn.com;10ma. Calle;17-49;12
253;Carrillo Orellana;Mirta Nadiana;mirtcarr@gmail.com;7ma. Avenida;14-72;13
254;Carrillo Orellana;José Damian;josecarr@yahoo.es;3ra. Avenida;9-57;14
255;Carrillo Orellana;Margarita Del Rosario;margcarr@walla.com;5ta. Avenida;13-26;15
256;Castaneda Villeda;Sumi;sumicast@aol.com;2da. Calle;17-51;16
257;Castañeda Argueta;Josue Daniel;josucast@yahoo.com;10ma. Calle;10-27;17
258;Castañeda Sánchez;Denisse Michell;denicast@hotmail.com;5ta. Avenida;3-90;18
259;Castañeda Yat;Josué Gabriel;josucast@gmail.com;4ta. Calle;10-31;19
260;Castellanos Chang;Génesis Lucía;genecast@msn.com;5ta. Avenida;7-07;21
261;Castellanos Fuentes;Sung Min;sungcast@gmail.com;3ra. Avenida;17-52;1
262;Castellanos Fuentes;Tiffany Tereza;tiffcast@yahoo.es;1ra. Avenida;17-60;2
263;Castellanos Fuentes;Ana Lucía;anacast@walla.com;2da. Calle;4-52;3
264;Castellanos Herrera;Luis Eduardo;luiscast@aol.com;7ma. Avenida;12-46;4
265;Castellanos Pérez;Katherine Madeleine;kathcast@yahoo.com;6ta. Calle;11-21;5
266;Castellanos Torres;Juan Carlos;juancast@hotmail.com;1ra. Avenida;10-38;6
267;Castellón Fajardo;José Miguel;josecast@gmail.com;8va. Calle;9-82;7
268;Castillo Arana;Mayra Alejandra;mayrcast@msn.com;3ra. Avenida;14-28;8
269;Castillo Arreaga;Veronica Ana Gabriela;verocast@gmail.com;4ta. Calle;18-07;9
270;Castillo Arreaga;Julio Eduardo;julicast@yahoo.es;2da. Calle;10-59;10
271;Castillo Castillo;Sara Michelle;saracast@walla.com;4ta. Calle;16-64;11
272;Castillo Chamalé;Oscar Steve;oscacast@aol.com;8va. Calle;15-46;12
273;Castillo España;Diego Alejandro;diegcast@yahoo.com;2da. Calle;5-06;13
274;Castillo Falla;Arleth  Saraí;arlecast@hotmail.com;9na. Avenida;1-54;14
275;Castillo García;Julio Roberto;julicast@gmail.com;3ra. Avenida;10-60;15
276;Castillo Lima;Verónica Zephaniah;verocast@msn.com;5ta. Avenida;18-08;16
277;Castillo Mancilla;Engy Maryhan;engycast@gmail.com;3ra. Avenida;6-10;17
278;Castillo Monroy;Edson David;edsocast@yahoo.es;6ta. Calle;5-50;18
279;Castillo Monterroso;Edgar Fernando;edgacast@walla.com;5ta. Avenida;5-39;19
280;Castillo Monterroso;Karen;karecast@aol.com;8va. Calle;10-65;21
281;Castillo Paiz;Rudy Daniel;rudycast@yahoo.com;6ta. Calle;16-36;1
282;Castillo Rodas;Victor Hugo;victcast@hotmail.com;6ta. Calle;18-09;2
283;Castillo Zamora;Gladys Mishelle;gladcast@gmail.com;9na. Avenida;7-31;3
284;Castro Abal;Luz Mary;luzcast@msn.com;3ra. Avenida;13-04;4
285;Castro Camey;Diego Andrés;diegcast@gmail.com;4ta. Calle;5-08;5
286;Castro Camey;Virginia Anely;virgcast@yahoo.es;6ta. Calle;18-19;6
287;Castro Florian;Rubí Esmeralda;rubicast@walla.com;2da. Calle;16-32;7
288;Castro Mejía;Andrea Estéfanie;andrcast@aol.com;3ra. Avenida;1-18;8
289;Catalán Barrios;Pablo Andrés;pablcata@yahoo.com;9na. Avenida;15-57;9
290;Catalán Cardona;Vivian Del Rosario;vivicata@hotmail.com;8va. Calle;18-21;10
291;Catalán Cardona;Sandra Carolina;sandcata@gmail.com;8va. Calle;16-48;11
292;Cedeño Gerónimo;Lucia Marisol;lucicede@msn.com;1ra. Avenida;12-20;12
293;Celada León;Wanda Gabriela;wandcela@gmail.com;1ra. Avenida;18-34;13
294;Cerezo Quiñónez;Marco Vinicio Isaias;marccere@yahoo.es;1ra. Avenida;13-22;14
295;Cetino Pérez;Diego Andrés;diegceti@walla.com;5ta. Avenida;5-09;15
296;Chacón;Victoria  Alejandra;victchac@aol.com;1ra. Avenida;18-14;16
297;Chacón Morales;Jacqueline Rubí;jacqchac@yahoo.com;5ta. Avenida;8-33;17
298;Chávez Gálvez;Yesika Andrea;yesichav@hotmail.com;1ra. Avenida;18-64;18
299;Chávez Gil;Brandon Eduardo;branchav@gmail.com;8va. Calle;2-13;19
300;Chávez Guerra;Yury Kratzey;yurychav@msn.com;1ra. Avenida;18-74;21
301;Chávez Madrid;Monica Isabel;monichav@gmail.com;1ra. Avenida;14-76;1
302;Chávez Madrid;Jackeline Valeska;jackchav@yahoo.es;1ra. Avenida;8-29;2
303;Chávez Paz;Diego Humberto;diegchav@walla.com;9na. Avenida;5-13;3
304;Chaw Morales;Daniel Abraham;danichaw@aol.com;10ma. Calle;3-55;4
305;Chea Arévalo;Joshua;joshchea@yahoo.com;9na. Avenida;10-16;5
306;Chea Arévalo;Yajaira María Luz;yajachea@hotmail.com;3ra. Avenida;18-56;6
307;Chén;Olga María;olgachen@gmail.com;4ta. Calle;15-22;7
308;Chén;José Isaias;josechen@msn.com;5ta. Avenida;9-69;8
309;Chicas Flores;Allan Andree;allachic@gmail.com;2da. Calle;4-32;9
310;Chich Vicente;Diego Antonio;diegchic@yahoo.es;6ta. Calle;5-10;10
